ticker,segment,has_ep,reject,n_ep,config,w_start,w_end
ASML,1. Semiconductor Equipment,False,False,0,B1_W2_early,2020-01-01,2022-07-31
AMAT,1. Semiconductor Equipment,False,False,0,B1_W2_early,2020-01-01,2022-07-31
LRCX,1. Semiconductor Equipment,False,False,0,B1_W2_early,2020-01-01,2022-07-31
NVDA,2. Chip Design (AI accelerators),False,False,0,B1_W2_early,2020-01-01,2022-07-31
AMD,2. Chip Design (AI accelerators),False,False,0,B1_W2_early,2020-01-01,2022-07-31
INTC,2. Chip Design (AI accelerators),False,False,0,B1_W2_early,2020-01-01,2022-07-31
AVGO,2. Chip Design (AI accelerators),False,False,0,B1_W2_early,2020-01-01,2022-07-31
MRVL,2. Chip Design (AI accelerators),False,False,0,B1_W2_early,2020-01-01,2022-07-31
MU,3. Memory (HBM-relevant),False,False,0,B1_W2_early,2020-01-01,2022-07-31
TSM,4. Foundry (leading-edge),True,True,1,B1_W2_early,2020-01-01,2022-07-31
WDC,5. Storage (non-HBM control),False,False,0,B1_W2_early,2020-01-01,2022-07-31
STX,5. Storage (non-HBM control),False,False,0,B1_W2_early,2020-01-01,2022-07-31
ANET,6. Data-Centre Networking & Optical,False,False,0,B1_W2_early,2020-01-01,2022-07-31
CSCO,6. Data-Centre Networking & Optical,False,False,0,B1_W2_early,2020-01-01,2022-07-31
NOK,6. Data-Centre Networking & Optical,False,False,0,B1_W2_early,2020-01-01,2022-07-31
CIEN,6. Data-Centre Networking & Optical,False,False,0,B1_W2_early,2020-01-01,2022-07-31
EQIX,7. Data-Centre REITs (colocation & build-out),False,False,0,B1_W2_early,2020-01-01,2022-07-31
DLR,7. Data-Centre REITs (colocation & build-out),False,False,0,B1_W2_early,2020-01-01,2022-07-31
MSFT,8. Hyperscale Cloud,False,False,0,B1_W2_early,2020-01-01,2022-07-31
AMZN,8. Hyperscale Cloud,False,False,0,B1_W2_early,2020-01-01,2022-07-31
GOOGL,8. Hyperscale Cloud,False,False,0,B1_W2_early,2020-01-01,2022-07-31
META,8. Hyperscale Cloud,False,False,0,B1_W2_early,2020-01-01,2022-07-31
ORCL,8. Hyperscale Cloud,False,False,0,B1_W2_early,2020-01-01,2022-07-31
IBM,9. Enterprise AI / Hybrid Cloud,False,False,0,B1_W2_early,2020-01-01,2022-07-31
PLTR,10. Application & AI Platform Software,False,False,0,B1_W2_early,2020-01-01,2022-07-31
SNOW,10. Application & AI Platform Software,False,False,0,B1_W2_early,2020-01-01,2022-07-31
DDOG,10. Application & AI Platform Software,False,False,0,B1_W2_early,2020-01-01,2022-07-31
AI,10. Application & AI Platform Software,False,False,0,B1_W2_early,2020-01-01,2022-07-31
QCOM,11. Edge AI & Devices,False,False,0,B1_W2_early,2020-01-01,2022-07-31
AAPL,11. Edge AI & Devices,False,False,0,B1_W2_early,2020-01-01,2022-07-31
TSLA,11. Edge AI & Devices,True,True,1,B1_W2_early,2020-01-01,2022-07-31
