ticker,segment,has_ep,reject,n_ep,config,min_up,min_down
ASML,1. Semiconductor Equipment,False,False,0,B2_up21_dn10,21,10
AMAT,1. Semiconductor Equipment,True,True,1,B2_up21_dn10,21,10
LRCX,1. Semiconductor Equipment,True,True,1,B2_up21_dn10,21,10
NVDA,2. Chip Design (AI accelerators),True,True,1,B2_up21_dn10,21,10
AMD,2. Chip Design (AI accelerators),False,False,0,B2_up21_dn10,21,10
INTC,2. Chip Design (AI accelerators),False,False,0,B2_up21_dn10,21,10
AVGO,2. Chip Design (AI accelerators),True,True,1,B2_up21_dn10,21,10
MRVL,2. Chip Design (AI accelerators),False,False,0,B2_up21_dn10,21,10
MU,3. Memory (HBM-relevant),True,True,1,B2_up21_dn10,21,10
TSM,4. Foundry (leading-edge),True,True,1,B2_up21_dn10,21,10
WDC,5. Storage (non-HBM control),True,True,1,B2_up21_dn10,21,10
STX,5. Storage (non-HBM control),True,True,1,B2_up21_dn10,21,10
ANET,6. Data-Centre Networking & Optical,True,True,1,B2_up21_dn10,21,10
CSCO,6. Data-Centre Networking & Optical,False,False,0,B2_up21_dn10,21,10
NOK,6. Data-Centre Networking & Optical,False,False,0,B2_up21_dn10,21,10
CIEN,6. Data-Centre Networking & Optical,True,True,1,B2_up21_dn10,21,10
EQIX,7. Data-Centre REITs (colocation & build-out),False,False,0,B2_up21_dn10,21,10
DLR,7. Data-Centre REITs (colocation & build-out),False,False,0,B2_up21_dn10,21,10
MSFT,8. Hyperscale Cloud,False,False,0,B2_up21_dn10,21,10
AMZN,8. Hyperscale Cloud,False,False,0,B2_up21_dn10,21,10
GOOGL,8. Hyperscale Cloud,True,True,1,B2_up21_dn10,21,10
META,8. Hyperscale Cloud,True,True,1,B2_up21_dn10,21,10
ORCL,8. Hyperscale Cloud,True,True,1,B2_up21_dn10,21,10
IBM,9. Enterprise AI / Hybrid Cloud,True,True,1,B2_up21_dn10,21,10
PLTR,10. Application & AI Platform Software,True,True,1,B2_up21_dn10,21,10
SNOW,10. Application & AI Platform Software,False,False,0,B2_up21_dn10,21,10
DDOG,10. Application & AI Platform Software,False,False,0,B2_up21_dn10,21,10
AI,10. Application & AI Platform Software,False,False,0,B2_up21_dn10,21,10
QCOM,11. Edge AI & Devices,False,False,0,B2_up21_dn10,21,10
AAPL,11. Edge AI & Devices,False,False,0,B2_up21_dn10,21,10
TSLA,11. Edge AI & Devices,False,False,0,B2_up21_dn10,21,10
CRWV,P. Specialised AI Cloud (neoclouds),False,False,0,B2_up21_dn10,21,10
NBIS,P. Specialised AI Cloud (neoclouds),True,True,1,B2_up21_dn10,21,10
CEG,P. Power & Grid (data-centre electricity),True,True,1,B2_up21_dn10,21,10
VST,P. Power & Grid (data-centre electricity),True,True,1,B2_up21_dn10,21,10
ASX,P. Advanced Packaging (pure-play),True,True,1,B2_up21_dn10,21,10
USO,C. AI-relevant: Energy (DC power proxy),False,False,0,B2_up21_dn10,21,10
UNG,C. AI-relevant: Energy (DC power proxy),False,False,0,B2_up21_dn10,21,10
BNO,C. AI-relevant: Energy (DC power proxy),False,False,0,B2_up21_dn10,21,10
JJC,C. AI-relevant: Industrial metals (hardware inputs),False,False,0,B2_up21_dn10,21,10
PPLT,C. AI-relevant: Industrial metals (hardware inputs),True,True,1,B2_up21_dn10,21,10
PALL,C. AI-relevant: Industrial metals (hardware inputs),False,False,0,B2_up21_dn10,21,10
GLD,C. Confound: Precious metals (monetary),True,True,1,B2_up21_dn10,21,10
SLV,C. Confound: Precious metals (monetary),True,True,1,B2_up21_dn10,21,10
DBA,C. Placebo: Agriculture,False,False,0,B2_up21_dn10,21,10
WEAT,C. Placebo: Agriculture,False,False,0,B2_up21_dn10,21,10
CORN,C. Placebo: Agriculture,False,False,0,B2_up21_dn10,21,10
SOYB,C. Placebo: Agriculture,False,False,0,B2_up21_dn10,21,10
COW,C. Placebo: Livestock,False,False,0,B2_up21_dn10,21,10
DBC,C. Benchmark: Broad commodity indices,False,False,0,B2_up21_dn10,21,10
GSG,C. Benchmark: Broad commodity indices,False,False,0,B2_up21_dn10,21,10
PDBC,C. Benchmark: Broad commodity indices,False,False,0,B2_up21_dn10,21,10
^IXIC,0. Index / Control,False,False,0,B2_up21_dn10,21,10
^SOX,0. Index / Control,False,False,0,B2_up21_dn10,21,10
^GSPC,0. Index / Control,False,False,0,B2_up21_dn10,21,10
