config,n_equity,reject_rate_eq,upstream_rate,downstream_rate,h2_holds,index_rate,h3_holds,mean_episodes,min_duration,merge_gap,check,alpha,w_start,w_end,min_up,min_down
A2_md21_mg21,31,0.9032258064516129,1.0,0.75,True,1.0,False,2.5806451612903225,21.0,21.0,A2,,,,,
A2_md42_mg21,31,0.7741935483870968,0.9,0.75,True,0.0,True,1.7741935483870968,42.0,21.0,A2,,,,,
A2_baseline,31,0.7419354838709677,0.8,0.75,True,0.0,True,1.5483870967741935,60.0,42.0,A2,,,,,
A2_md90_mg42,31,0.5483870967741935,0.7,0.375,True,0.0,True,0.967741935483871,90.0,42.0,A2,,,,,
A2_md60_mg60,31,0.8064516129032258,0.9,0.75,True,0.3333333333333333,True,1.7096774193548387,60.0,60.0,A2,,,,,
A3_alpha90,31,0.8064516129032258,0.9,0.75,True,0.3333333333333333,True,2.032258064516129,,,A3,0.9,,,,
A3_alpha95_baseline,31,0.6774193548387096,0.8,0.625,True,0.0,True,1.5806451612903225,,,A3,0.95,,,,
A3_alpha99,31,0.5483870967741935,0.8,0.375,True,0.0,True,0.6451612903225806,,,A3,0.99,,,,
A5_logprices,31,0.25806451612903225,0.0,0.25,False,0.0,True,0.6451612903225806,,,A5,,,,,
B1_W1_early,31,0.41935483870967744,0.5,0.25,True,,False,0.41935483870967744,,,B1,,2021-08-01,2026-05-01,,
B1_W1_baseline,31,0.3548387096774194,0.5,0.125,True,,False,0.3548387096774194,,,B1,,2021-11-01,2026-05-01,,
B1_W1_late,31,0.41935483870967744,0.5,0.25,True,,False,0.41935483870967744,,,B1,,2022-02-01,2026-05-01,,
B1_W2_early,31,0.06451612903225806,0.1,0.125,False,,False,0.06451612903225806,,,B1,,2020-01-01,2022-07-31,,
B1_W2_baseline,31,0.06451612903225806,0.1,0.125,False,,False,0.06451612903225806,,,B1,,2020-01-01,2022-10-31,,
B1_W2_late,31,0.06451612903225806,0.1,0.125,False,,False,0.06451612903225806,,,B1,,2020-01-01,2023-01-31,,
B2_up21_dn10,31,0.4838709677419355,0.6,0.25,True,0.0,True,0.4838709677419355,,,B2,,,,21.0,10.0
B2_up21_dn21,31,0.4838709677419355,0.6,0.25,True,0.0,True,0.4838709677419355,,,B2,,,,21.0,21.0
B2_baseline,31,0.3548387096774194,0.5,0.125,True,0.0,True,0.3548387096774194,,,B2,,,,42.0,21.0
B2_up42_dn42,31,0.3548387096774194,0.5,0.125,True,0.0,True,0.3548387096774194,,,B2,,,,42.0,42.0
B2_up63_dn21,31,0.3548387096774194,0.5,0.125,True,0.0,True,0.3548387096774194,,,B2,,,,63.0,21.0
